English word,French word,Frequency
Return,undefined,23
Revenge,undefined,25
revenge,vengeance,130
reverence,révérence,44
revolt,révolte,41
Revolt,undefined,1
right,droite,325
Right,undefined,27
rivers,rivières,11
RIVERS,undefined,32
Rivers,undefined,15
rogue,coquin,79
Rogue,undefined,2
rotten,pourri,36
Rotten,undefined,2
Rough,undefined,6
rough,rugueux,66
round,rond,72
Round,undefined,3
royal,Royal,205
Royal,undefined,8
sacred,sacré,46
Sacred,undefined,1
safety,sécurité,74
saint,Saint,25
Saint,undefined,101
SAINT,undefined,3
SALERIO,undefined,43
Salerio,undefined,5
satisfied,satisfait,48
saying,en disant,50
Saying,undefined,6
scarce,rare,67
Scarce,undefined,6
SCENE,undefined,655
scene,scène,34
Scene,undefined,110
scorn,mépris,104
Scorn,undefined,4
search,chercher,43
Search,undefined,7
season,saison,45
Season,undefined,2
second,seconde,100
SECOND,undefined,465
Second,undefined,7
secret,secret,65
seeing,voyant,42
Seeing,undefined,11
Senate,undefined,42
SENATOR,undefined,86
senator,sénateur,4
Senator,undefined,1
sense,sens,124
Sense,undefined,1
sentence,phrase,39
servant,serviteur,148
Servant,undefined,24
SERVANT,undefined,257
serve,servir,184
Serve,undefined,3
SERVICE,undefined,221
service,un service,221
Service,undefined,2
seven,Sept,64
Seven,undefined,8
several,nombreuses,79
shadow,ombre,71
SHADOW,undefined,4
Shadow,undefined,6
shake,secouer,91
Shake,undefined,11
shall,doit,3128
Shall,undefined,472
shame,la honte,294
Shame,undefined,13
shape,forme,87
sharp,tranchant,67
Sharp,undefined,4
shepherd,berger,68
Shepherd,undefined,1
SHEPHERD,undefined,57
shine,éclat,43
Shine,undefined,2
shore,rive,49
Shore,undefined,8
short,court,103
Short,undefined,3
shortly,prochainement,44
Shortly,undefined,2
should,devrait,1428
Should,undefined,152
shows,montre,95
Shows,undefined,8
sickness,maladie,53
Sickness,undefined,1
sight,vue,200
Sight,undefined,1
silence,silence,62
SILENCE,undefined,26
Silence,undefined,24
silver,argent,65
Silver,undefined,4
simple,Facile,72
SIMPLE,undefined,39
Simple,undefined,6
Since,undefined,163
since,depuis,286
single,Célibataire,58
Single,undefined,1
sirrah,sirrah,77
Sirrah,undefined,71
sister,sœur,194
Sister,undefined,10
skill,compétence,51
Skill,undefined,1
slain,tué,125
Slain,undefined,2
slander,calomnie,50
Slander,undefined,3
slave,esclave,128
Slave,undefined,4
sleep,sommeil,242
Sleep,undefined,22
slender,mince,10
SLENDER,undefined,70
Slender,undefined,31
SMALL,undefined,2
Small,undefined,14
small,petit,85
smell,odeur,50
Smell,undefined,1
Smile,undefined,8
smile,sourire,69
soldier,soldat,149
SOLDIER,undefined,119
Soldier,undefined,4
solemn,solennel,38
Solemn,undefined,3
SOMERSET,undefined,79
Somerset,undefined,68
something,quelque chose,152
Something,undefined,31
Sometime,undefined,18
sometime,parfois,59
sooner,plus tôt,60
Sooner,undefined,2
SOOTHSAYER,undefined,34
soothsayer,devin,3
Soothsayer,undefined,6
sorrow,chagrin,185
Sorrow,undefined,8
sorry,Pardon,88
Sorry,undefined,4
sought,recherché,35
Sought,undefined,2
souls,âmes,110
Souls,undefined,4
sound,du son,172
Sound,undefined,46
sovereign,souverain,150
Sovereign,undefined,4
spare,de rechange,48
Spare,undefined,13
speak,parler,1005
Speak,undefined,200
SPEAK,undefined,1
speaks,parle,125
Speaks,undefined,3
special,spécial,38
speech,discours,128
speed,la vitesse,112
Speed,undefined,3
SPEED,undefined,125
spend,dépenser,67
Spend,undefined,1
spirit,esprit,254
SPIRIT,undefined,9
Spirit,undefined,2
spite,dépit,59
spoke,parlait,137
Spoke,undefined,11
sport,sport,119
Sport,undefined,4
spring,printemps,57
Spring,undefined,4
SPRING,undefined,1
staff,Personnel,41
stain,tache,62
Stain,undefined,5
stand,supporter,466
Stand,undefined,120
stars,étoiles,68
Stars,undefined,3
state,Etat,305
State,undefined,5
steal,voler,78
Steal,undefined,6
steel,acier,69
Steel,undefined,1
STEWARD,undefined,10
steward,intendant,22
Steward,undefined,15
still,encore,499
Still,undefined,65
stomach,estomac,43
Stomach,undefined,1
stone,calcul,65
Stone,undefined,2
stood,se tenait,82
Stood,undefined,11
store,boutique,40
storm,orage,52
Storm,undefined,7
story,récit,67
straight,tout droit,145
Straight,undefined,8
strange,étrange,241
Strange,undefined,11
street,rue,79
Street,undefined,4
strength,force,120
Strength,undefined,4
strike,la grève,116
Strike,undefined,38
stroke,accident vasculaire cérébral,40
strong,fort,190
Strong,undefined,6
struck,frappé,73
Struck,undefined,3
study,étude,60
Study,undefined,5
stuff,des trucs,63
Stuff,undefined,1
subject,matière,104
Subject,undefined,1
substance,substance,41
success,Succès,44
Success,undefined,4
sudden,soudain,78
Sudden,undefined,1
suddenly,tout à coup,48
Suddenly,undefined,2
suffer,souffrir,102
Suffer,undefined,5
Suffolk,undefined,83
SUFFOLK,undefined,176
summer,été,89
supper,souper,61
Supper,undefined,1
surely,sûrement,35
Surely,undefined,5
SURREY,undefined,37
Surrey,undefined,13
suspect,suspect,35
Suspect,undefined,3
swear,jurer,241
Swear,undefined,24
sweat,transpiration,37
Sweat,undefined,2
sweet,sucré,664
Sweet,undefined,143
swift,rapide,67
Swift,undefined,3
sword,épée,351
Sword,undefined,4
swore,juré,50
Swore,undefined,1
sworn,juré,132
Sworn,undefined,1
Syracuse,undefined,9
SYRACUSE,undefined,229
table,table,60
tailor,tailleur,35
Tailor,undefined,2
TAILOR,undefined,14
taken,pris,90
Taken,undefined,4
Talbot,undefined,91
TALBOT,undefined,81
tarry,goudronneux,35
Tarry,undefined,10
taste,goût,75
Taste,undefined,5
taught,enseigné,48
Taught,undefined,2
teach,enseigner,91
Teach,undefined,13
tears,larmes,274
Tears,undefined,10
tedious,fastidieux,44
Tedious,undefined,1
teeth,les dents,55
Teeth,undefined,1
tells,raconte,40
Tells,undefined,2
tempest,tempête,42
TEMPEST,undefined,2
tender,soumissionner,147
Tender,undefined,2
terms,termes,74
Terms,undefined,1
thank,remercier,280
Thank,undefined,14
their,leur,1935
Their,undefined,142
themselves,se,158
Themselves,undefined,1
there,Là,1501
There,undefined,709
therefore,par conséquent,363
Therefore,undefined,264
therein,la bride,47
Therein,undefined,9
These,undefined,224
these,celles-ci,1101
thief,voleur,68
thing,chose,358
Thing,undefined,1
think,pense,986
Think,undefined,88
third,troisième,73
THIRD,undefined,159
Third,undefined,12
Thomas,undefined,54
THOMAS,undefined,21
those,ceux,467
Those,undefined,80
though,bien que,400
Though,undefined,234
thought,pensée,373
Thought,undefined,4
thrive,prospérer,56
throat,gorge,51
throne,trône,67
through,par,227
Through,undefined,36
throw,jeter,90
Throw,undefined,16
thrust,poussée,47
Thrust,undefined,7
thunder,tonnerre,56
Thunder,undefined,15
times,fois,208
title,Titre,91
together,ensemble,241
Together,undefined,16
tongue,langue,411
Tongue,undefined,9
tonight,ce soir,47
Tonight,undefined,2
touch,toucher,156
Touch,undefined,8
toward,vers,94
Toward,undefined,9
tower,la tour,11
Tower,undefined,68
TOWER,undefined,2
train,train,127
Train,undefined,4
TRAIN,undefined,2
traitor,traitre,131
Traitor,undefined,3
tread,bande de roulement,41
Tread,undefined,2
treason,trahison,84
Treason,undefined,8
treasure,Trésor,53
trial,procès,60
Tribunes,undefined,23
tribunes,tribunes,27
TRIBUNES,undefined,17
trick,tour,53
triumph,triomphe,47
Triumph,undefined,1
trouble,difficulté,72
Trouble,undefined,5
truly,vraiment,124
Truly,undefined,48
trumpet,trompette,79
Trumpet,undefined,11
trust,confiance,156
Trust,undefined,20
truth,vérité,334
Truth,undefined,4
turns,se tourne,47
Turns,undefined,8
twice,deux fois,62
Twice,undefined,10
tyrant,tyran,58
Tyrant,undefined,2
Ulysses,undefined,20
ULYSSES,undefined,94
uncle,oncle,191
Uncle,undefined,20
UNDER,undefined,2
under,sous,208
Under,undefined,88
understand,comprendre,97
Understand,undefined,1
undertake,entreprendre,45
undone,défait,52
Undone,undefined,3
unhappy,malheureux,34
Unhappy,undefined,4
UNHAPPY,undefined,1
unknown,inconnue,41
Unknown,undefined,3
unless,sauf si,64
Unless,undefined,89
Until,undefined,35
until,jusqu'à,41
unworthy,indigne,31
Unworthy,undefined,5
utter,prononcer,41
Utter,undefined,2
Valentine,undefined,66
VALENTINE,undefined,167
valiant,vaillant,149
Valiant,undefined,7
valour,valeur,99
Valour,undefined,2
vantage,avantage,40
vengeance,vengeance,203
Vengeance,undefined,4
Venice,undefined,64
VENICE,undefined,22
VERSION,undefined,221
version,version,1
victory,la victoire,46
Victory,undefined,1
villain,scélérat,229
Villain,undefined,24
Viola,undefined,5
VIOLA,undefined,137
violent,violent,41
virtue,vertu,179
Virtue,undefined,16
visit,visite,50
Visit,undefined,5
voice,voix,157
Voice,undefined,1
walls,des murs,84
Walls,undefined,1
warlike,guerrier,57
Warlike,undefined,1
warrant,mandat,175
Warrant,undefined,1
waste,déchets,43
Waste,undefined,1
watch,regarder,135
WATCH,undefined,31
Watch,undefined,41
water,eau,148
Water,undefined,1
wealth,richesse,72
weapons,armes,40
Weapons,undefined,2
weary,se lasser,73
Weary,undefined,5
weeds,mauvaises herbes,42
Weeds,undefined,2
weeping,larmes,56
Weeping,undefined,4
weight,poids,44
Welcome,undefined,93
welcome,Bienvenue,273
wench,jeune fille,62
whence,d'où,58
Whence,undefined,17
where,où,684
Where,undefined,663
wherein,où,66
Wherein,undefined,66
whether,qu'il s'agisse,56
Whether,undefined,41
which,lequel,1418
Which,undefined,904
while,tandis que,177
While,undefined,70
whither,où,38
Whither,undefined,50
whole,entier,120
Whole,undefined,1
whore,putain,46
Whore,undefined,2
Whose,undefined,235
whose,dont,383
widow,veuve,70
WIDOW,undefined,44
Widow,undefined,9
willing,prêt,36
Willing,undefined,4
window,la fenêtre,48
Window,undefined,2
wings,ailes,54
Wings,undefined,1
winter,hiver,67
Winter,undefined,4
WINTER,undefined,2
wisdom,sagesse,92
Wisdom,undefined,5
witch,sorcière,43
WITCH,undefined,50
Witch,undefined,1
withal,avec,136
Withal,undefined,6
within,dans,340
Within,undefined,154
Without,undefined,81
without,sans pour autant,287
witness,témoin,108
Witness,undefined,20
wives,épouses,58
WIVES,undefined,1
Wives,undefined,3
WOLSEY,undefined,93
Wolsey,undefined,8
woman,femme,416
Woman,undefined,3
wonder,merveille,116
Wonder,undefined,5
WORKS,undefined,221
Works,undefined,5
works,travaux,23
World,undefined,6
WORLD,undefined,221
world,monde,678
worse,pire,151
Worse,undefined,10
worship,culte,104
worth,vaut,201
Worth,undefined,4
would,aurait,2027
Would,undefined,274
wound,blessure,70
Wound,undefined,3
wounded,blessés,38
Wounded,undefined,2
wrath,colère,55
Wrath,undefined,2
wretch,misérable,59
WRITE,undefined,1
write,écrire,105
Write,undefined,19
written,écrit,34
Written,undefined,1
wrong,faux,272
Wrong,undefined,4
wrought,forgé,42
Wrought,undefined,1
yield,rendement,128
Yield,undefined,15
yonder,là-bas,59
Yonder,undefined,15
young,Jeune,406
Young,undefined,36
YOUNG,undefined,25
yours,le tiens,248
Yours,undefined,8
yourself,toi même,268
Yourself,undefined,12
youth,jeunesse,275
Youth,undefined,8
